Tahun,Rata-rata Close,Jumlah Dividen,Yield Percentage
2008,436.25714285714287,,
2009,500.4375,23.8,4.75583864118896
2010,872.6693877551021,26.85,3.076766571252175
2011,953.9835390946502,41.85,4.386868146563253
2012,711.9344262295082,65.8,9.242424242424242
2013,523.4132231404959,23.009999999999998,4.3961441902325795
2014,522.2479338842975,28.21,5.401648942904166
2015,366.8606557377049,30.25,8.245637553902183
2016,524.1512605042017,31.93,6.091752973995575
2017,919.8143459915611,42.400000000000006,4.609625864694766
2018,1037.8841201716739,107.64,10.371100001240556
2019,782.4918032786885,90.15,11.520887454956844
2020,750.804979253112,109.61000000000001,14.59899747988328
2021,967.1740890688259,66.28,6.852954473151048
2022,2480.959349593496,301.54999999999995,12.15457238545278
2023,2373.317991631799,492.06,20.73299919079445
2024,2541.6438356164385,1767.47,69.54042794006683
