Date,Open,High,Low,Close,Adj Close,Volume,Open_normalized,High_normalized,Low_normalized,Close_normalized,Volume_normalized
2005-09-29,432.588074,436.787964,407.388763,432.588074,278.522797,76180670,0.03460977716648725,0.034341551915887746,0.03194789404578057,0.03681223007596401,0.03483894355971572
2005-09-30,457.787384,457.787384,432.588074,457.787384,294.747437,105493978,0.040726295044758276,0.0393920663425346,0.038525825696700794,0.043183925036881884,0.04824450540316713
2005-10-03,470.387024,474.586914,440.987854,470.387024,302.859711,59712955,0.04378455034300966,0.0434324764408081,0.04071847210369053,0.046369768724561417,0.027307928232041603
2005-10-04,474.586914,482.986694,466.187164,474.586914,305.563843,56236668,0.044803971203016206,0.045452685097554804,0.047296403493574564,0.0474317191489742,0.025718152681493498
2005-10-05,482.986694,482.986694,466.187164,482.986694,310.972046,31319315,0.04684281292302932,0.045452685097554804,0.047296403493574564,0.04955561999779978,0.01432294895298188
2005-10-06,466.187164,482.986694,461.987274,466.187164,300.155609,8107366,0.04276513676477139,0.045452685097554804,0.04620008029007971,0.04530782588570747,0.0037076605717954202
2005-10-07,470.387024,470.387024,457.787384,470.387024,302.859711,6577562,0.04378455034300966,0.04242237211243476,0.04510375708658483,0.046369768724561417,0.003008050615445242
2005-10-10,466.187164,470.387024,457.787384,466.187164,300.155609,23223854,0.04276513676477139,0.04242237211243476,0.04510375708658483,0.04530782588570747,0.010620732775716967
2005-10-11,466.187164,466.187164,461.987274,466.187164,300.155609,13497395,0.04276513676477139,0.0414122749992813,0.04620008029007971,0.04530782588570747,0.006172628602612569
2005-10-12,470.387024,474.586914,466.187164,470.387024,302.859711,29804392,0.04378455034300966,0.0434324764408081,0.047296403493574564,0.046369768724561417,0.013630144375464837
2005-10-13,474.586914,474.586914,470.387024,474.586914,305.563843,12738446,0.044803971203016206,0.0434324764408081,0.0483927188659843,0.0474317191489742,0.0058255460503627305
2005-10-14,474.586914,474.586914,470.387024,474.586914,305.563843,12018188,0.044803971203016206,0.0434324764408081,0.0483927188659843,0.0474317191489742,0.0054961576660070436
2005-10-17,474.586914,474.586914,474.586914,474.586914,305.563843,0,0.044803971203016206,0.0434324764408081,0.049489042069479156,0.0474317191489742,0.0
2005-10-18,470.387024,474.586914,470.387024,470.387024,302.859711,12110452,0.04378455034300966,0.0434324764408081,0.0483927188659843,0.046369768724561417,0.0055383518379484775
2005-10-19,461.987274,470.387024,461.987274,461.987274,297.451508,5631107,0.04174571590476484,0.04242237211243476,0.04620008029007971,0.04424587546129469,0.00257521782036992
2005-10-20,461.987274,461.987274,461.987274,461.987274,297.451508,0,0.04174571590476484,0.040402170670907955,0.04620008029007971,0.04424587546129469,0.0
2005-10-21,461.987274,461.987274,461.987274,461.987274,297.451508,3038774,0.04174571590476484,0.040402170670907955,0.04620008029007971,0.04424587546129469,0.00138969210794197
2005-10-24,449.387604,461.987274,445.187744,449.387604,289.339233,10875299,0.03868745332474518,0.040402170670907955,0.04181479530718538,0.04106002418805632,0.004973491675198352
2005-10-25,449.387604,449.387604,449.387604,449.387604,289.339233,0,0.03868745332474518,0.037371857685787914,0.04291111067959512,0.04106002418805632,0.0
2005-10-26,453.587494,457.787384,449.387604,453.587494,292.043335,14298013,0.039706874184751724,0.0393920663425346,0.04291111067959512,0.0421219746124691,0.0065387672216991755
2005-10-27,440.987854,457.787384,440.987854,440.987854,283.931,16018298,0.03664861888650036,0.0393920663425346,0.04071847210369053,0.03893613092478959,0.007325487947857472
2005-10-28,428.388184,436.787964,428.388184,428.388184,275.818726,15390305,0.0335903563064807,0.034341551915887746,0.03742950249320594,0.035750279651551226,0.007038294192763213
2005-10-31,432.588074,432.588074,424.188324,432.588074,278.522797,25104858,0.03460977716648725,0.033331447587514405,0.0363331871207962,0.03681223007596401,0.011480953514017109
2005-11-01,428.388184,432.588074,428.388184,428.388184,275.818726,35012869,0.0335903563064807,0.033331447587514405,0.03742950249320594,0.035750279651551226,0.016012085046701745
2005-11-07,428.388184,428.388184,428.388184,428.388184,275.818726,0,0.0335903563064807,0.03232134325914106,0.03742950249320594,0.035750279651551226,0.0
2005-11-08,428.388184,428.388184,428.388184,428.388184,275.818726,0,0.0335903563064807,0.03232134325914106,0.03742950249320594,0.035750279651551226,0.0
2005-11-09,428.388184,428.388184,428.388184,428.388184,275.818726,0,0.0335903563064807,0.03232134325914106,0.03742950249320594,0.035750279651551226,0.0
2005-11-10,419.988434,432.588074,419.988434,419.988434,270.410461,25747733,0.031551521868235864,0.033331447587514405,0.03523686391730133,0.03362638638828448,0.011774953105264498
2005-11-11,411.588654,424.188324,411.588654,411.588654,265.002197,12366412,0.029512680148222767,0.0313112461459876,0.03304421751031161,0.03150248553945891,0.005655407463654379
2005-11-14,411.588654,415.788544,407.388763,411.588654,265.002197,7637115,0.029512680148222767,0.0292910374892409,0.03194789404578057,0.03150248553945891,0.003492605387220385
2005-11-15,403.188873,415.788544,403.188873,403.188873,259.594055,33515804,0.027473838185484045,0.0292910374892409,0.03085157084228572,0.02937858443778137,0.015327447289640464
2005-11-16,407.388763,407.388763,398.989014,407.388763,262.298157,22512525,0.028493259045490594,0.02727082859198687,0.02975525573091215,0.03044053486219415,0.010295427801589159
2005-11-17,403.188873,407.388763,398.989014,403.188873,259.594055,9684790,0.027473838185484045,0.02727082859198687,0.02975525573091215,0.02937858443778137,0.00442904810626763
2005-11-18,407.388763,411.588654,407.388763,407.388763,262.298157,41161848,0.028493259045490594,0.028280933160867553,0.03194789404578057,0.03044053486219415,0.018824136087088727
2005-11-21,419.988434,419.988434,411.588654,419.988434,270.410461,80606388,0.031551521868235864,0.030301141817614244,0.03304421751031161,0.03362638638828448,0.03686291288964178
2005-11-22,436.787964,436.787964,419.988434,436.787964,281.226868,94172238,0.035629198026493794,0.034341551915887746,0.03523686391730133,0.03787418050037679,0.043066847332454763
2005-11-23,436.787964,440.987854,432.588074,436.787964,281.226868,68745942,0.035629198026493794,0.03535165624426111,0.038525825696700794,0.03787418050037679,0.03143889379415396
2005-11-24,436.787964,440.987854,432.588074,436.787964,281.226868,13425965,0.035629198026493794,0.03535165624426111,0.038525825696700794,0.03787418050037679,0.006139962235429522
2005-11-25,428.388184,440.987854,428.388184,428.388184,275.818726,19682090,0.0335903563064807,0.03535165624426111,0.03742950249320594,0.035750279651551226,0.009001013283911067
