Date;Open_normalized;High_normalized;Low_normalized;Close_normalized;Volume_normalized
18/12/2007 00.00;0.05526005669331465;0.0725012781186094;0.05553079029484812;0.07548491894130012;01.00
19/12/2007 00.00;0.07210880020384113;0.0753131390593047;0.07180156657963446;0.07210880020384113;0.27372825368861486
27/12/2007 00.00;0.06959263623913113;0.06940184049079755;0.07014583200662294;0.07210880020384113;0.104976877339793
28/12/2007 00.00;0.07210880020384113;0.06940184049079755;0.06985926256129402;0.07153549702200847;0.03419951552521471
03/01/2008 00.00;0.06733127368856898;0.0651840490797546;0.06705725020696682;0.06733127368856898;0.047357410262056816
04/01/2008 00.00;0.07070739242602797;0.0679959100204499;0.06845825638413042;0.07070739242602797;0.02675622109667474
07/01/2008 00.00;0.08220530623944963;0.07953093047034765;0.07040056040247086;0.08220530623944963;0.17118476106584452
08/01/2008 00.00;0.08109055005255279;0.08320552147239264;0.07966630580143921;0.08109055005255279;0.09486897159216032
09/01/2008 00.00;0.08249195783036596;0.08039366053169734;0.07966630580143921;0.08249195783036596;0.08119356969830434
14/01/2008 00.00;0.08895754371436762;0.090810327198364;0.08304145704642425;0.08895754371436762;0.21704470380973354
15/01/2008 00.00;0.08895754371436762;0.09333461145194274;0.0881041839139018;0.08895754371436762;0.17839682889231448
16/01/2008 00.00;0.08895754371436762;0.08713573619631902;0.0853021715595746;0.08895754371436762;0.19895397489539748
17/01/2008 00.00;0.1016020638914546;0.09895833333333333;0.08979175953639432;0.1016020638914546;0.13020259854657565
18/01/2008 00.00;0.10271682007835144;0.10292050102249489;0.0965102209768834;0.10271682007835144;0.1346839903105043
21/01/2008 00.00;0.09373507022963977;0.1018021472392638;0.0923072024453926;0.09373507022963977;0.08565293988108347
22/01/2008 00.00;0.08812943911838711;0.08518660531697342;0.08246831815576641;0.08812943911838711;0.30451442413565294
23/01/2008 00.00;0.09793929356307927;0.09783997955010225;0.09033305737757116;0.09793929356307927;0.09288702928870293
24/01/2008 00.00;0.09905404974997611;0.1001086400817996;0.09877093549003375;0.09905404974997611;0.04276591059238053
25/01/2008 00.00;0.10720769500270727;0.10544478527607362;0.10045851111252627;0.10720769500270727;0.1551530499889892
28/01/2008 00.00;0.12150842437175527;0.1201111963190184;0.10548939693052282;0.12150842437175527;0.1392644791896058
29/01/2008 00.00;0.12908876644265377;0.12825920245398773;0.12290645099662485;0.12908876644265377;0.1163069808412244
30/01/2008 00.00;0.1271459056597764;0.12825920245398773;0.12319302044195377;0.1271459056597764;0.03086324598106144
31/01/2008 00.00;0.12434309010415008;0.12714084867075665;0.12402088772845953;0.12434309010415008;0.06300374366879542
01/02/2008 00.00;0.11701754944739944;0.12432898773006135;0.11166656052983506;0.11701754944739944;0.08482713058797621
04/02/2008 00.00;0.11701754944739944;0.1248721881390593;0.11701585684264153;0.11701754944739944;0.06517286941202378
05/02/2008 00.00;0.1234831353314011;0.12544734151329243;0.12010443864229765;0.1234831353314011;0.20006606474344857
06/02/2008 00.00;0.1234831353314011;0.11924846625766872;0.11755715468381837;0.12039366818485843;0.06827791235410703
11/02/2008 00.00;0.11281332611395993;0.1175549591002045;0.11278099726166975;0.11281332611395993;0.055582470821404974
12/02/2008 00.00;0.11112526674523043;0.11531825153374232;0.10466152964401707;0.11112526674523043;0.07089848051090068
13/02/2008 00.00;0.10778099818453993;0.1102377300613497;0.10689040310768642;0.10778099818453993;0.04208324157674521
14/02/2008 00.00;0.1159027932605026;0.11416794478527607;0.10997898490734255;0.1159027932605026;0.06106584452763708
15/02/2008 00.00;0.11478803707360576;0.1229230572597137;0.1150417117748201;0.11478803707360576;0.1163069808412244
18/02/2008 00.00;0.13332483995286173;0.13052786298568508;0.12570846335095204;0.13332483995286173;0.13744769874476986
19/02/2008 00.00;0.13666910851355224;0.1358640081799591;0.13242692479144114;0.13666910851355224;0.07118476106584452
20/02/2008 00.00;0.12883396502850591;0.1367267382413088;0.12570846335095204;0.12883396502850591;0.043041180356749614
21/02/2008 00.00;0.1310634774022996;0.13107106339468302;0.12962491243711394;0.1310634774022996;0.03086324598106144
22/02/2008 00.00;0.13077682581138325;0.1293775562372188;0.12851047570527924;0.13077682581138325;0.021757322175732216
25/02/2008 00.00;0.1313501289932159;0.13107106339468302;0.12991148188244284;0.1313501289932159;0.017397049108125964
26/02/2008 00.00;0.1276873586648406;0.12995270961145194;0.1279373368146214;0.1276873586648406;0.017430081479850253
27/02/2008 00.00;0.12150842437175527;0.1265656952965235;0.1206457364834745;0.12150842437175527;0.08661087866108787
28/02/2008 00.00;0.1201070165939421;0.12094197341513292;0.11895816086098197;0.1201070165939421;0.046410482272627174
29/02/2008 00.00;0.12039366818485843;0.11982361963190184;0.11981786919696873;0.12039366818485843;0.04228143580709095
03/03/2008 00.00;0.11816415581106475;0.11701175869120654;0.11446857288416226;0.11816415581106475;0.02411363135873156
04/03/2008 00.00;0.12125362295760742;0.1203668200408998;0.11672928739731261;0.12125362295760742;0.05922704250165162
05/03/2008 00.00;0.11985221517979425;0.12122955010224949;0.11870343246513405;0.11985221517979425;0.06321294868971593
06/03/2008 00.00;0.11927891199796159;0.11982361963190184;0.11895816086098197;0.11927891199796159;0.03716141818982603
10/03/2008 00.00;0.10972385896741726;0.11416794478527607;0.10886454817550786;0.10972385896741726;0.06833296630698084
11/03/2008 00.00;0.10469153103799726;0.10685071574642127;0.09877093549003375;0.10469153103799726;0.11225500990971152
12/03/2008 00.00;0.10634774022995827;0.11081288343558282;0.10660383366235751;0.10634774022995827;0.046883946267342
