Date;Open_normalized;High_normalized;Low_normalized;Close_normalized;Volume_normalized
16/07/2008 00.00;0.14111037673496366;0.170582555519794;0.14448541736506873;0.17250495703899538;01.00
17/07/2008 00.00;0.1682088565763384;0.170582555519794;0.17197452229299362;0.1682088565763384;0.4857043534034701
18/07/2008 00.00;0.1602775941837409;0.16253620856131315;0.16392893060677172;0.1602775941837409;0.12078714659713066
21/07/2008 00.00;0.16556510244547257;0.16124879304795622;0.16392893060677172;0.16556510244547257;0.06299047740650181
22/07/2008 00.00;0.16424322538003966;0.16124879304795622;0.16661079450217903;0.16424322538003966;0.03746014377613737
23/07/2008 00.00;0.16292134831460675;0.15867396202124234;0.16526986255447537;0.16292134831460675;0.05327392123919868
24/07/2008 00.00;0.15862524785194976;0.1560991309945285;0.15957090177673483;0.15862524785194976;0.0944496322843769
25/07/2008 00.00;0.15862524785194976;0.1560991309945285;0.15822996982903118;0.15862524785194976;0.09668124946510036
28/07/2008 00.00;0.16424322538003966;0.1599613775345993;0.16091183372443849;0.16424322538003966;0.09588989585491474
29/07/2008 00.00;0.16556510244547257;0.16124879304795622;0.16526986255447537;0.16556510244547257;0.06226179900224288
31/07/2008 00.00;0.16688697951090548;0.16414547795300932;0.1692926583975863;0.16688697951090548;0.0536620010496337
01/08/2008 00.00;0.15862524785194976;0.1599613775345993;0.16091183372443849;0.15862524785194976;0.09936678707662627
04/08/2008 00.00;0.1533377395902181;0.1532024460894754;0.15688903788132752;0.1533377395902181;0.05550490533703398
05/08/2008 00.00;0.14771976206212822;0.1467653685226907;0.14984914515588335;0.14771976206212822;0.06361786254865696
06/08/2008 00.00;0.14639788499669532;0.14547795300933375;0.14984914515588335;0.14639788499669532;0.06146664689472837
07/08/2008 00.00;0.14904163912756113;0.14547795300933375;0.14984914515588335;0.14904163912756113;0.06457381770976119
08/08/2008 00.00;0.15465961665565103;0.14934019954940458;0.15253100905129063;0.15465961665565103;0.049836914239440484
11/08/2008 00.00;0.14639788499669532;0.14934019954940458;0.14984914515588335;0.14639788499669532;0.04948048857341288
12/08/2008 00.00;0.14243225380039656;0.1438686836176376;0.14582634931277239;0.14243225380039656;0.04866001315037243
13/08/2008 00.00;0.14111037673496366;0.13743160605085292;0.14448541736506873;0.14111037673496366;0.03554443495660002
14/08/2008 00.00;0.14375413086582947;0.14129385259092372;0.14582634931277239;0.14375413086582947;0.04204303080344434
15/08/2008 00.00;0.14507600793126238;0.14129385259092372;0.14582634931277239;0.14507600793126238;0.03160349397787563
19/08/2008 00.00;0.1394580304031725;0.13743160605085292;0.14280925243043915;0.1394580304031725;0.03166237068647344
20/08/2008 00.00;0.14507600793126238;0.14129385259092372;0.14280925243043915;0.14507600793126238;0.05025664819428294
21/08/2008 00.00;0.14507600793126238;0.14129385259092372;0.1485082132081797;0.14507600793126238;0.036453541983981264
22/08/2008 00.00;0.14904163912756113;0.14547795300933375;0.151190077103587;0.14904163912756113;0.03468534147738251
25/08/2008 00.00;0.14639788499669532;0.14258126810428065;0.14716728126047604;0.14639788499669532;0.03767222654366712
26/08/2008 00.00;0.14639788499669532;0.1438686836176376;0.1485082132081797;0.14639788499669532;0.03626171786887227
27/08/2008 00.00;0.14507600793126238;0.14129385259092372;0.1485082132081797;0.14507600793126238;0.0295314136849656
28/08/2008 00.00;0.14507600793126238;0.14129385259092372;0.1485082132081797;0.14507600793126238;0.037248694091495775
29/08/2008 00.00;0.14639788499669532;0.14258126810428065;0.1485082132081797;0.14639788499669532;0.03371799082429161
01/09/2008 00.00;0.14507600793126238;0.14258126810428065;0.1485082132081797;0.14507600793126238;0.02660403841016695
02/09/2008 00.00;0.14243225380039656;0.13871902156420984;0.14448541736506873;0.14243225380039656;0.03415038643689703
03/09/2008 00.00;0.1381361533377396;0.13743160605085292;0.1414683204827355;0.1381361533377396;0.03249234235283612
04/09/2008 00.00;0.1394580304031725;0.13453492114579982;0.14012738853503184;0.1394580304031725;0.025424604989546302
05/09/2008 00.00;0.13417052214144085;0.13196009011908594;0.13610459269192088;0.13417052214144085;0.0383129064264734
08/09/2008 00.00;0.13417052214144085;0.13324750563244286;0.13744552463962453;0.13417052214144085;0.03285446576485706
09/09/2008 00.00;0.12855254461335097;0.12938525909237206;0.13040563191418036;0.12855254461335097;0.06312025939857224
10/09/2008 00.00;0.12855254461335097;0.12391374316060509;0.12202480724103251;0.12855254461335097;0.04535278814268468
11/09/2008 00.00;0.12723066754791804;0.12391374316060509;0.1290646999664767;0.12723066754791804;0.025247341780864723
12/09/2008 00.00;0.12590879048248513;0.12262632764724815;0.12772376801877305;0.12590879048248513;0.022309204096967548
15/09/2008 00.00;0.12194315928618639;0.12133891213389121;0.12504190412336574;0.12194315928618639;0.032123888111933695
16/09/2008 00.00;0.1163251817580965;0.1145799806887673;0.10828025477707007;0.1163251817580965;0.05656405300890641
17/09/2008 00.00;0.12062128222075347;0.12005149662053428;0.12068387529332886;0.12062128222075347;0.0575795179614966
18/09/2008 00.00;0.13152676801057503;0.1268104280656582;0.1166610794502179;0.13152676801057503;00.00
19/09/2008 00.00;0.14243225380039656;0.1400064370775668;0.13610459269192088;0.14243225380039656;0.1394004165915846
22/09/2008 00.00;0.14243225380039656;0.14129385259092372;0.14582634931277239;0.14243225380039656;0.02381594137076097
23/09/2008 00.00;0.14243225380039656;0.14129385259092372;0.14582634931277239;0.14243225380039656;0.035011379164778984
24/09/2008 00.00;0.14243225380039656;0.13743160605085292;0.14448541736506873;0.14243225380039656;0.024024225640961825
